     Time(s)     Power(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
        0.23        -3.17        -0.79         0.49        24.41        -0.23        23.85
        1.45        -3.17        -0.64         0.49        24.41        -0.08        23.70
        2.61        -3.02        -0.64         0.63        24.56         0.07        23.80
        3.71        -3.17        -0.64         0.49        24.56        -0.08        23.80
        4.80        -3.02        -0.64         0.49        24.56        -0.08        23.80
        5.90        -3.02        -0.64         0.49        24.71         0.07        23.75
        6.98        -3.02        -0.79         0.49        24.56        -0.08        23.90
        8.06        -3.02        -0.64         0.63        24.71         0.07        23.80
        9.16        -3.02        -0.64         0.49        24.56        -0.08        23.80
       10.25        -3.02        -0.64         0.49        24.56         0.07        23.95
       11.35        -3.02        -0.64         0.63        24.56        -0.08        23.95
       12.43        -3.02        -0.79         0.49        24.56        -0.23        23.95
       13.52        -3.17        -0.64         0.34        24.56        -0.23        23.95
       14.61        -3.17        -0.49         0.34        24.56        -0.23        23.95
       15.70        -3.02        -0.34         0.49        24.56        -0.08        24.00
       16.80        -2.71        -0.19         0.49        24.56         0.07        24.00
       17.89        -3.02        -0.19         0.49        24.56         0.07        23.95
       18.98        -2.87        -0.03         0.49        24.56         0.22        23.95
       20.08        -2.87        -0.03         0.49        24.56         0.22        23.95
       21.19        -2.71         0.12         0.63        24.56         0.22        23.95
       22.27        -2.71         0.12         0.63        24.56         0.37        23.95
       23.36        -2.71         0.12         0.63        24.41         0.37        23.90
       24.46        -2.56         0.12         0.63        24.41         0.52        24.00
       25.55        -2.56         0.27         0.78        24.41         0.52        23.95
       26.65        -2.56         0.42         0.78        24.56         0.52        23.90
       27.73        -2.41         0.42         0.78        24.56         0.52        23.90
       28.82        -2.56         0.58         0.78        24.56         0.68        23.90
       29.90        -2.41         0.58         0.92        24.56         0.68        23.90
       30.99        -2.41         0.58         0.92        24.71         0.68        23.95
       32.07        -2.41         0.73         0.92        24.56         0.83        24.00
       33.16        -2.25         0.88         0.92        24.56         0.83        23.90
       34.25        -2.25         0.88         1.07        24.56         0.83        24.00
       35.35        -2.10         1.03         1.07        24.71         0.98        24.00
       36.43        -2.10         1.18         1.07        24.71         0.98        24.00
       37.52        -1.95         1.18         1.21        24.71         1.13        24.05
       38.60        -1.95         1.18         1.21        24.71         1.13        24.05
       39.67        -1.95         1.18         1.21        24.86         1.13        24.00
       40.79        -1.95         1.18         1.35        24.86         1.13        24.00
       41.89        -1.79         1.18         1.35        24.71         1.13        24.00
       42.98        -1.79         1.34         1.21        24.56         1.13        24.05
       44.06        -1.79         1.18         1.35        24.71         1.13        23.95
       45.16        -1.79         1.34         1.35        24.56         1.13        24.05
       46.26        -1.79         1.34         1.35        24.56         1.28        24.00
       47.37        -1.79         1.34         1.50        24.56         1.13        24.05
       48.47        -1.79         1.34         1.35        24.56         1.28        24.00
       49.56        -1.64         1.49         1.50        24.71         1.28        24.00
       50.67        -1.64         1.34         1.35        24.71         1.28        24.00
       51.77        -1.64         1.49         1.50        24.56         1.28        24.00
       52.88        -1.64         1.49         1.50        24.56         1.28        24.05
       53.97        -1.64         1.49         1.50        24.56         1.28        24.05
       55.06        -1.64         1.49         1.50        24.56         1.58        24.00
       56.15        -1.64         1.64         1.50        24.56         1.58        24.10
       57.24        -1.64         1.79         1.64        24.56         1.58        24.00
       58.32        -1.49         1.79         1.64        24.56         1.73        24.05
       59.41        -1.49         1.79         1.64        24.56         1.73        24.05
       60.50        -1.33         1.79         1.79        24.71         1.58        24.00
       61.57        -1.49         1.79         1.79        24.56         2.03        23.95
       62.66        -1.33         1.95         1.79        24.71         1.73        24.05
       63.76        -1.33         1.95         1.93        24.56         1.58        24.05
       64.85        -1.33         1.95         1.93        24.56         1.73        24.00
       65.96        -1.18         1.95         1.93        24.71         2.18        24.00
       67.06        -1.18         1.95         1.93        24.71         2.18        24.05
       68.15        -1.33         2.10         1.93        24.71         2.33        24.05
       69.26        -1.18         2.10         2.08        24.71         2.33        24.05
       70.37        -1.03         1.95         1.93        24.71         2.48        24.05
       71.48        -1.18         2.25         2.08        24.71         1.88        24.05
       72.58        -1.18         2.25         2.08        24.71         2.18        24.10
       73.69        -1.03         2.25         2.08        24.56         2.48        24.05
       74.79        -1.03         2.10         2.08        24.71         2.48        24.10
       75.89        -1.03         2.25         2.22        24.71         2.63        24.00
       76.98        -1.03         2.25         2.22        24.71         2.48        24.05
       78.09        -0.88         2.25         2.08        24.71         2.63        24.05
       79.19        -0.88         2.25         2.22        24.71         2.63        24.00
       80.27        -0.88         2.25         2.22        24.56         2.48        23.95
       81.36        -0.88         2.25         2.22        24.71         2.63        24.00
       82.45        -0.88         2.40         2.22        24.71         2.78        24.00
       83.55        -0.88         2.40         2.22        24.56         2.78        23.90
       84.65        -0.72         2.55         2.36        24.71         2.93        23.90
       85.75        -0.72         2.55         2.36        24.71         2.93        23.90
       86.89        -0.72         2.55         2.36        24.71         2.78        23.90
       87.99        -0.72         2.55         2.51        24.71         2.93        23.85
       89.09        -0.57         2.55         2.51        24.71         3.08        23.80
       90.20        -0.57         2.71         2.51        24.86         2.93        23.95
       91.31        -0.42         2.71         2.36        24.71         3.08        23.95
       92.41        -0.57         2.86         2.65        24.86         3.08        23.95
       93.52        -0.26         2.71         2.80        25.01         3.08        23.95
       94.61        -0.57         2.71         2.51        24.86         3.08        24.00
       95.72        -0.57         2.71         2.65        24.86         3.08        23.90
       96.81        -0.42         2.86         2.65        25.01         3.08        24.00
       97.91        -0.42         2.86         2.65        25.01         3.23        23.95
       99.03        -0.42         2.71         2.65        25.01         3.23        23.90
      100.11        -0.42         2.86         2.80        25.15         3.08        23.95
      101.20        -0.42         2.86         2.65        25.15         3.23        23.90
      102.31        -0.42         2.86         2.80        25.15         3.23        24.00
      103.41        -0.26         2.86         2.80        25.15         3.23        23.95
      104.52        -0.26         2.86         2.80        25.15         3.23        23.95
      105.65        -0.11         3.01         2.80        25.30         3.23        24.00
      106.76        -0.11         3.01         2.80        25.30         3.23        24.00
      107.88        -0.26         3.01         2.80        25.30         3.23        23.90
      108.97        -0.11         3.01         2.94        25.30         3.38        24.00
      110.07        -0.11         3.01         2.94        25.45         3.38        23.95
      111.18        -0.11         3.16         2.94        25.45         3.38        24.00
      112.28        -0.11         3.01         2.94        25.45         3.38        23.95
      113.40        -0.11         3.16         3.09        25.45         3.38        23.95
      114.50        -0.11         3.16         2.94        25.60         3.53        23.95
      115.59         0.04         3.16         3.09        25.45         3.53        23.95
      116.68        -0.11         3.16         3.09        25.45         3.38        24.00
      117.77         0.04         3.16         3.09        25.60         3.53        23.95
      118.88         0.04         3.31         3.09        25.60         3.38        24.00
      119.98        -0.11         3.31         3.09        25.45         3.53        24.05
      121.06         0.04         3.31         3.23        25.60         3.38        24.05
      122.16         0.04         3.31         3.09        25.60         3.53        24.10
      123.27         0.20         3.31         3.23        25.60         3.53        24.05
      124.38         0.35         3.47         3.23        25.60         3.53        24.05
      125.50         0.20         3.31         3.38        25.60         3.53        24.00
      126.60         0.20         3.47         3.38        25.75         3.68        24.00
      127.69         0.20         3.77         3.66        25.90         3.83        23.95
      128.79         0.20         3.47         3.38        25.75         3.68        24.00
      129.89         0.35         3.62         3.52        25.75         3.83        24.00
      130.99         0.35         3.62         3.38        25.75         3.83        24.00
      132.09         0.35         3.62         3.52        25.75         3.83        24.00
      133.18         0.35         3.77         3.52        25.75         3.83        24.00
      134.27         0.35         3.77         3.66        25.75         3.83        24.05
      135.36         0.50         3.77         3.52        25.75         3.98        24.05
      136.47         0.35         3.92         3.66        25.90         3.98        23.95
      137.57         0.66         3.92         3.66        25.75         3.98        24.00
      138.67         0.50         3.92         3.81        25.90         3.98        24.00
      139.77         0.50         3.92         3.66        25.90         3.98        24.00
      140.90         0.66         4.08         3.66        25.90         3.98        23.90
      142.00         0.50         4.08         3.81        26.04         3.98        23.95
      143.12         0.66         4.08         3.66        25.90         3.98        23.95
      144.21         0.66         4.23         3.81        26.04         4.13        24.00
      145.31         0.66         4.08         3.81        26.04         4.13        23.95
      146.41         0.66         4.23         3.66        25.90         4.13        23.95
      147.50         0.66         4.23         3.81        26.04         4.13        24.00
      148.60         0.66         4.23         3.81        26.04         4.13        24.00
      149.69         0.66         4.23         3.81        25.90         4.13        24.00
      150.80         0.81         4.23         3.81        26.04         4.29        24.10
      151.93         0.81         4.23         3.95        26.04         4.13        24.00
      153.03         0.81         4.23         3.95        26.04         4.13        24.00
      154.12         0.81         4.38         3.95        26.19         4.29        24.05
      155.23         0.81         4.38         3.95        26.04         4.29        24.05
      156.32         0.96         4.38         3.95        26.04         4.29        24.05
      157.41         0.96         4.38         3.95        26.19         4.44        24.05
      158.53         0.81         4.53         3.95        26.19         4.29        24.05
      159.63         0.96         4.53         4.10        26.19         4.29        24.10
      160.75         0.96         4.38         4.10        26.19         4.44        24.05
      161.87         0.96         4.53         4.10        26.34         4.29        24.05
      162.98         1.12         4.53         4.10        26.19         4.44        24.00
      164.07         0.96         4.53         4.10        26.19         4.44        24.00
      165.16         0.96         4.53         4.10        26.19         4.44        23.90
      166.25         1.12         4.53         4.10        26.19         4.44        23.90
      167.34         1.12         4.53         4.10        26.19         4.44        23.85
      168.43         1.12         4.53         4.10        26.19         4.59        23.95
      169.52         1.12         4.53         4.10        26.19         4.59        23.85
      170.61         1.27         4.68         4.10        26.19         4.59        23.90
      171.72         1.12         4.68         4.24        26.19         4.59        23.90
      172.84         1.27         4.68         4.24        26.19         4.59        23.85
      173.94         1.12         4.68         4.24        26.19         4.59        23.90
      175.02         1.12         4.68         4.24        26.19         4.74        23.85
      176.12         1.27         4.68         4.39        26.19         4.74        23.90
      177.25         1.27         4.84         4.39        26.19         4.74        23.90
      178.37         1.12         4.68         4.39        26.19         4.74        23.90
      179.49         1.42         4.84         4.24        26.19         4.89        23.90
      180.60         1.42         4.84         4.39        26.19         4.74        23.95
      181.70         1.42         4.68         4.39        26.19         4.89        23.95
      182.81         1.42         4.84         4.53        26.19         4.89        23.90
      183.92         1.42         4.84         4.53        26.19         4.89        23.90
      185.00         1.57         4.84         4.53        26.19         4.89        23.95
      186.09         1.42         4.99         4.53        26.19         4.89        23.95
      187.20         1.42         4.84         4.53        26.19         4.89        24.00
      188.31         1.57         4.84         4.53        26.34         5.04        23.90
      189.42         1.57         4.99         4.53        26.19         5.04        23.95
      190.52         1.57         4.99         4.67        26.19         5.04        23.95
      191.63         1.57         4.99         4.67        26.19         5.04        23.95
      192.74         1.57         4.99         4.53        26.19         5.04        23.95
      193.83         1.57         4.99         4.67        26.34         5.04        23.90
      194.94         1.57         4.99         4.67        26.19         5.04        23.90
      196.03         1.73         5.14         4.82        26.19         5.04        23.85
      197.14         1.73         5.14         4.67        26.19         5.19        23.80
      198.24         1.73         5.29         4.82        26.04         5.19        23.85
      199.33         1.88         5.14         4.82        26.04         5.34        23.80
      200.45         1.88         5.29         4.82        26.04         5.19        23.75
      201.52         1.88         5.29         4.82        26.04         5.34        23.75
      202.60         2.03         5.45         4.96        26.04         5.34        23.75
      203.70         1.88         5.45         5.11        26.04         5.34        23.75
      204.80         1.88         5.45         5.11        26.04         5.49        23.70
      205.91         2.03         5.45         5.11        26.04         5.49        23.65
      207.03         2.03         5.60         5.11        26.04         5.49        23.65
      208.12         2.19         5.60         5.25        26.04         5.49        23.70
      209.24         2.19         5.60         5.25        25.90         5.64        23.70
      210.32         2.19         5.60         5.25        26.04         5.49        23.80
      211.42         2.19         5.60         5.40        25.90         5.64        23.80
      212.53         2.19         5.60         5.25        25.90         5.49        23.80
      213.66         2.19         5.75         5.25        25.90         5.64        23.80
      214.76         2.19         5.75         5.25        25.90         5.64        23.85
      215.90         2.19         5.75         5.40        25.90         5.64        23.75
      216.99         2.34         5.75         5.40        25.90         5.64        23.80
      218.10         2.19         5.90         5.40        25.90         5.64        23.75
      219.20         2.34         5.90         5.40        25.90         5.79        23.75
      220.30         2.34         5.90         5.40        26.04         5.79        23.75
      221.42         2.34         5.90         5.40        25.75         5.79        23.80
      222.51         2.49         5.90         5.54        25.90         5.79        23.85
      223.62         2.49         5.90         5.40        25.90         5.79        23.80
      224.73         2.34         5.90         5.40        25.90         5.79        23.80
      225.85         2.49         6.05         5.40        25.90         5.79        23.80
      226.96         2.49         6.05         5.40        25.75         5.79        23.75
      228.07         2.49         5.90         5.54        25.90         5.94        23.85
      229.18         2.49         6.05         5.40        25.90         5.94        23.80
      230.30         2.65         6.21         5.54        25.90         5.79        23.80
      231.40         2.65         5.90         5.54        25.75         5.79        23.75
      232.49         2.49         6.05         5.54        25.90         5.79        23.80
      233.59         2.49         6.05         5.54        26.04         5.94        23.85
      234.69         2.65         6.05         5.68        26.04         5.94        23.85
      235.80         2.49         6.05         5.54        26.04         5.94        23.85
      236.94         2.65         6.05         5.68        26.04         5.94        23.80
      238.05         2.80         6.05         5.54        26.19         5.94        23.85
      239.16         2.65         6.21         5.68        26.19         6.09        23.85
      240.28         2.80         6.21         5.68        26.19         5.94        23.85
      241.39         2.65         6.36         5.68        26.19         5.94        23.85
      242.50         2.80         6.21         5.83        26.19         6.09        23.90
      243.62         2.80         6.36         5.83        26.19         6.09        23.85
      244.71         2.80         6.36         5.83        26.19         6.09        23.85
      245.84         2.80         6.36         5.83        26.34         6.09        23.90
      246.96         2.95         6.36         5.83        26.19         6.09        23.85
      248.07         2.95         6.36         5.83        26.19         6.09        23.85
      249.19         2.80         6.36         5.83        26.19         6.24        23.85
      250.30         2.95         6.51         5.97        26.19         6.24        23.85
      251.41         2.95         6.51         5.97        26.19         6.24        23.85
      252.50         2.95         6.51         5.83        26.19         6.24        23.85
      253.61         2.95         6.51         6.12        26.19         6.24        23.90
      254.70         2.95         6.51         6.12        26.19         6.24        23.85
      255.80         2.95         6.66         5.97        26.19         6.39        23.85
      256.89         2.95         6.66         6.12        26.19         6.39        23.85
      258.02         3.11         6.66         5.97        26.04         6.39        23.85
      259.12         3.11         6.66         5.97        26.19         6.39        23.90
      260.23         3.11         6.66         6.12        26.19         6.39        23.90
      261.34         3.26         6.66         6.12        26.19         6.54        23.90
      262.46         3.11         6.66         6.12        26.19         6.39        23.90
      263.58         3.11         6.66         6.26        26.19         6.39        23.85
      264.67         3.11         6.81         6.26        26.19         6.39        23.95
      265.76         3.26         6.81         6.12        26.04         6.54        23.90
      266.86         3.26         6.81         6.26        26.19         6.39        23.85
      267.95         3.11         6.97         6.12        26.04         6.39        24.00
      269.06         3.11         6.81         6.12        26.04         6.39        23.95
      270.17         3.26         6.81         6.26        26.04         6.39        24.15
      271.29         3.26         6.81         6.26        26.19         6.39        24.10
      272.40         3.26         6.81         6.26        26.04         6.54        24.00
      273.49         3.41         6.81         6.41        26.19         6.69        24.00
      274.59         3.26         6.81         6.26        26.19         6.54        24.05
      275.71         3.26         6.97         6.41        26.04         6.69        24.00
      276.82         3.41         6.97         6.26        26.04         6.54        24.00
      277.94         3.41         6.97         6.41        26.04         6.54        24.05
      279.05         3.41         6.97         6.26        26.04         6.69        24.00
      280.14         3.41         6.97         6.26        26.19         6.69        24.00
      281.25         3.41         7.12         6.41        26.19         6.69        24.00
      282.36         3.41         7.12         6.41        26.19         6.69        24.00
      283.47         3.57         7.12         6.41        26.19         6.69        24.00
      284.59         3.57         7.12         6.55        26.34         6.69        23.95
      285.70         3.57         7.12         6.55        26.19         6.84        23.95
      286.80         3.57         7.12         6.69        26.19         6.84        23.90
      287.92         3.57         7.12         6.55        26.04         6.69        23.95
      289.03         3.57         7.12         6.55        26.04         6.84        23.95
      290.14         3.72         7.12         6.69        26.19         6.84        23.95
      291.25         3.72         7.27         6.69        26.19         6.84        23.95
      292.35         3.72         7.12         6.69        26.19         6.99        23.95
      293.46         3.72         7.27         6.69        26.19         6.84        23.90
      294.57         3.72         7.12         6.69        26.19         6.99        23.90
      295.68         3.72         7.27         6.69        26.04         6.99        23.95
      296.80         3.72         7.12         6.69        26.04         6.84        23.85
      297.92         3.87         7.27         6.84        26.04         6.99        24.00
      299.03         3.72         7.42         6.69        25.90         6.99        24.00
      300.14         3.87         7.27         6.84        26.04         7.14        24.00
      301.25         3.87         7.42         6.84        26.04         7.14        24.00
      302.36         3.87         7.42         6.84        26.19         7.14        23.95
      303.47         3.87         7.42         6.69        26.19         7.14        23.95
      304.57         3.87         7.42         6.84        26.19         7.14        24.00
      305.68         3.87         7.42         6.98        26.19         7.14        23.95
      306.78         3.87         7.42         6.84        26.34         7.14        23.95
      307.90         4.03         7.42         6.84        26.49         7.14        23.90
      309.02         4.03         7.58         7.13        26.34         7.14        23.95
      310.13         3.87         7.58         6.98        26.34         7.14        23.95
      311.24         4.03         7.58         6.84        26.49         7.14        24.00
      312.34         4.03         7.58         6.98        26.49         7.14        24.00
      313.45         4.03         7.58         7.13        26.34         7.29        24.05
      314.56         4.03         7.58         6.98        26.19         7.14        24.00
      315.67         4.18         7.58         6.98        26.19         7.29        23.90
      316.80         4.03         7.58         6.98        26.19         7.29        23.95
      317.93         4.03         7.58         6.98        26.34         7.29        23.80
      319.05         4.03         7.73         6.98        26.19         7.29        23.85
      320.16         4.18         7.58         7.13        26.34         7.44        23.85
      321.27         4.18         7.58         7.13        26.34         7.44        23.85
      322.38         4.18         7.58         7.13        26.34         7.29        23.90
      323.47         4.18         7.58         7.13        26.34         7.29        23.90
      324.59         4.18         7.73         7.27        26.34         7.29        23.85
      325.71         4.18         7.73         7.27        26.19         7.44        23.85
      326.83         4.18         7.73         7.13        26.19         7.44        23.80
      327.93         4.18         7.73         7.27        26.19         7.44        23.80
      329.05         4.33         7.73         7.27        26.04         7.59        23.80
      330.16         4.33         7.73         7.27        26.04         7.44        23.80
      331.26         4.33         7.88         7.27        25.90         7.44        23.85
      332.36         4.33         7.73         7.27        26.04         7.59        23.85
      333.47         4.33         7.73         7.27        25.90         7.59        23.85
      334.58         4.33         7.88         7.27        25.90         7.44        23.75
      335.68         4.33         7.88         7.27        25.75         7.59        23.80
      336.79         4.33         7.88         7.42        25.90         7.59        23.85
      337.92         4.48         7.88         7.42        25.75         7.59        23.85
      339.07         4.48         7.88         7.42        25.75         7.59        23.80
      340.16         4.48         8.03         7.42        25.75         7.59        23.85
      341.29         4.48         7.88         7.42        25.60         7.59        23.55
      342.40         4.48         8.03         7.42        25.60         7.75        23.85
      343.52         4.48         8.03         7.42        25.60         7.59        23.80
      344.62         4.48         8.03         7.42        25.60         7.75        23.80
      345.73         4.48         8.03         7.42        25.60         7.75        23.80
      346.85         4.48         8.03         7.56        25.75         7.75        23.75
      347.98         4.48         8.03         7.42        25.75         7.75        23.85
      349.11         4.48         8.03         7.56        25.75         7.75        23.85
      350.23         4.48         8.18         7.56        25.75         7.90        23.85
      351.34         4.48         8.03         7.56        25.75         7.90        23.85
      352.46         4.64         8.03         7.56        25.75         7.90        23.80
      353.57         4.64         8.03         7.71        25.90         7.90        23.85
      354.69         4.64         8.18         7.56        25.75         7.90        23.85
      355.81         4.64         8.18         7.71        25.75         7.59        23.90
      356.94         4.79         8.18         7.56        25.60         7.90        23.80
      358.06         4.79         8.18         7.56        25.60         7.90        23.85
      359.17         4.79         8.18         7.56        25.60         8.05        23.80
      360.30         4.79         8.18         7.71        25.60         7.90        23.90
      361.41         4.79         8.18         7.71        25.75         8.05        23.85
      362.53         4.79         8.18         7.71        25.75         8.05        23.85
      363.64         4.79         8.18         7.71        25.75         7.90        23.85
      364.76         4.79         8.34         7.56        25.75         7.90        23.95
      365.89         4.79         8.18         7.71        25.75         7.90        23.85
      367.02         4.79         8.18         7.56        25.75         8.05        23.85
      368.12         4.94         8.18         7.56        25.75         8.05        23.90
      369.25         4.94         8.18         7.71        25.75         8.05        23.95
      370.35         4.79         8.18         7.71        25.90         8.05        23.75
      371.47         4.79         8.18         7.71        25.75         8.05        23.85
      372.58         4.94         8.18         7.85        25.75         8.05        23.95
      373.69         4.79         8.18         7.71        25.75         8.05        23.85
      374.81         4.94         8.34         7.85        25.75         8.20        23.90
      375.92         4.94         8.34         7.71        25.75         8.05        23.85
      377.01         4.94         8.18         7.85        25.75         8.20        23.90
      378.15         5.10         8.34         7.99        25.75         8.05        23.90
      379.27         4.94         8.18         7.85        25.90         8.20        23.85
      380.38         4.94         8.34         7.85        25.90         8.20        23.85
      381.50         4.94         8.34         7.85        25.90         8.20        23.90
      382.61         5.10         8.34         7.99        25.90         8.20        23.85
      383.72         5.10         8.34         7.99        25.75         8.35        23.85
      384.83         4.94         8.34         7.99        25.75         8.20        23.85
      385.94         5.10         8.34         7.85        25.60         8.20        23.85
      387.06         5.10         8.34         7.85        25.60         8.35        23.90
      388.16         5.10         8.34         7.99        25.75         8.35        23.95
      389.27         5.25         8.34         7.99        25.75         8.35        23.90
      390.40         5.10         8.34         7.99        25.75         8.35        23.95
      391.52         5.25         8.34         7.99        25.90         8.35        23.90
      392.65         5.25         8.34         7.99        25.75         8.35        23.90
      393.76         5.25         8.34         8.14        25.75         8.35        23.90
      394.87         5.25         8.34         7.99        25.60         8.35        24.00
      395.99         5.25         8.49         7.99        25.75         8.35        23.95
      397.10         5.25         8.49         7.99        25.75         8.50        23.90
      398.23         5.25         8.34         8.14        25.75         8.35        24.00
      399.35         5.25         8.49         8.14        25.60         8.50        23.95
      400.46         5.25         8.49         8.14        25.60         8.20        24.00
      401.57         5.40         8.49         8.14        25.60         8.65        24.05
      402.71         5.40         8.64         8.14        25.45         8.35        24.05
      403.82         5.40         8.64         8.28        25.60         8.50        23.95
      404.96         5.40         8.49         8.14        25.45         8.50        23.95
      406.06         5.40         8.49         8.14        25.45         8.50        24.00
      407.15         5.40         8.49         8.28        25.45         8.50        24.00
      408.26         5.40         8.49         8.28        25.45         8.50        24.00
      409.38         5.40         8.64         8.28        25.45         8.50        24.00
      410.50         5.40         8.64         8.28        25.60         8.50        23.95
      411.61         5.40         8.64         8.28        25.60         8.50        24.00
      412.76         5.40         8.64         8.43        25.60         8.50        24.00
      413.88         5.40         8.79         8.43        25.75         8.50        24.00
      414.99         5.40         8.64         8.43        25.75         8.65        24.00
      416.11         5.40         8.64         8.43        25.90         8.50        23.95
      417.22         5.56         8.64         8.43        25.90         8.65        23.95
      418.35         5.40         8.79         8.43        25.90         8.50        23.90
      419.47         5.56         8.79         8.43        25.90         8.50        23.95
      420.59         5.56         8.79         8.43        25.90         8.50        23.90
      421.70         5.56         8.79         8.57        26.04         8.65        23.90
      422.83         5.56         8.79         8.43        26.04         8.65        23.90
      423.95         5.56         8.79         8.43        25.90         8.80        23.95
      425.06         5.56         8.79         8.57        26.04         8.65        23.95
      426.17         5.56         8.79         8.43        25.90         8.65        23.95
      427.28         5.56         8.79         8.57        26.04         8.65        23.95
      428.41         5.56         8.79         8.57        26.04         8.65        23.95
      429.52         5.56         8.79         8.57        26.04         8.65        23.95
      430.64         5.71         8.79         8.57        26.04         8.80        24.00
      431.78         5.71         8.95         8.57        25.90         8.80        23.90
      432.90         5.71         8.95         8.57        25.90         8.80        24.00
      434.03         5.71         8.79         8.57        26.04         8.80        23.90
      435.16         5.71         8.95         8.57        25.90         8.80        24.00
      436.27         5.86         8.95         8.57        26.04         8.95        24.00
      437.40         5.71         8.95         8.57        26.04         8.80        24.00
      438.54         5.86         8.95         8.72        25.90         8.95        24.00
      439.68         5.71         8.95         8.72        25.90         8.95        23.90
      440.81         5.86         8.95         8.72        25.90         8.95        24.05
      441.91         5.71         8.95         8.57        25.90         8.95        24.00
      443.03         5.86         9.10         8.72        25.75         8.95        23.95
      444.14         5.86         8.95         8.57        25.75         8.95        24.05
      445.25         5.86         8.95         8.72        25.75         8.95        24.05
      446.38         5.86         8.95         8.72        25.75         8.95        24.00
      447.50         5.86         8.95         8.72        25.75         8.95        24.05
      448.64         5.71         9.10         8.86        25.60         8.95        23.95
      449.76         5.86         9.10         8.72        25.60         8.95        24.05
      450.91         5.86         9.10         8.72        25.60         8.95        24.00
      452.05         6.02         9.10         8.86        25.60         8.95        24.00
      453.17         5.86         9.10         8.72        25.60         8.95        24.00
      454.28         5.86         9.10         8.86        25.45         9.10        24.10
      455.39         6.02         9.10         8.72        25.60         9.10        24.10
      456.51         5.86         9.10         8.72        25.75         9.10        24.10
      457.64         6.02         9.10         8.86        25.90         8.95        24.10
      458.75         5.86         9.10         8.86        25.90         9.10        24.10
      459.86         6.02         9.10         8.86        25.90         9.10        24.10
      461.00         6.02         9.25         8.86        25.75         9.10        24.05
      462.11         6.02         9.25         8.86        25.90         9.10        24.05
      463.24         6.02         9.25         8.86        25.75         9.10        24.10
      464.38         6.17         9.25         9.00        25.90         9.10        24.10
      465.51         6.17         9.10         9.00        25.75         9.10        24.10
      466.63         6.17         9.25         9.00        25.75         9.25        24.15
      467.75         6.17         9.25         9.00        25.90         9.10        24.15
      468.86         6.17         9.25         9.00        25.75         9.25        24.10
      469.99         6.17         9.40         9.15        25.90         9.25        24.20
      471.11         6.17         9.25         9.00        25.75         9.25        24.20
      472.24         6.17         9.25         9.00        25.90         9.40        24.20
      473.37         6.17         9.25         9.15        25.90         9.25        24.10
      474.48         6.17         9.25         9.00        25.90         9.25        24.15
      475.61         6.17         9.25         9.15        25.90         9.25        24.05
      476.75         6.17         9.40         9.15        25.75         9.25        24.10
      477.85         6.17         9.40         9.15        25.75         9.25        24.15
      478.96         6.32         9.40         9.15        25.75         9.25        24.15
      480.09         6.32         9.40         9.15        25.90         9.40        24.15
      481.20         6.32         9.40         9.15        25.90         9.40        24.15
      482.33         6.32         9.40         9.15        25.75         9.25        24.15
      483.48         6.32         9.40         9.15        25.90         9.25        24.15
      484.59         6.32         9.40         9.15        25.75         9.40        24.20
      485.72         6.32         9.40         9.29        25.75         9.40        24.15
      486.84         6.48         9.40         9.29        25.75         9.40        24.20
      487.97         6.32         9.40         9.29        25.75         9.40        24.20
      489.12         6.32         9.40         9.29        25.75         9.40        24.25
      490.23         6.48         9.55         9.29        25.75         9.40        24.20
      491.34         6.32         9.55         9.29        25.90         9.55        24.20
      492.47         6.48         9.55         9.29        25.75         9.55        24.20
      493.58         6.48         9.55         9.29        25.60         9.40        24.20
      494.69         6.48         9.55         9.44        25.75         9.55        24.20
      495.80         6.48         9.55         9.29        25.75         9.55        24.20
      496.91         6.48         9.55         9.44        25.75         9.55        24.25
      498.04         6.48         9.71         9.29        25.60         9.55        24.15
      499.19         6.48         9.55         9.29        25.60         9.55        24.20
      500.31         6.48         9.71         9.29        25.75         9.55        24.20
      501.44         6.48         9.55         9.44        25.75         9.55        24.20
      502.55         6.63         9.71         9.44        25.75         9.55        24.15
      503.69         6.63         9.55         9.44        25.60         9.55        24.15
      504.79         6.63         9.71         9.44        25.75         9.55        24.25
      505.91         6.63         9.71         9.29        25.60         9.55        24.20
      507.04         6.63         9.71         9.44        25.60         9.55        24.20
      508.15         6.63         9.86         9.29        25.60         9.55        24.20
      509.29         6.63         9.71         9.44        25.45         9.70        24.20
      510.43         6.63         9.71         9.58        25.45         9.70        24.20
      511.55         6.63         9.71         9.58        25.45         9.55        24.20
      512.66         6.78         9.71         9.58        25.30         9.70        24.20
      513.77         6.63         9.71         9.58        25.30         9.70        24.25
      514.90         6.63         9.71         9.58        25.30         9.70        24.20
      516.02         6.63         9.86         9.58        25.30         9.85        24.10
      517.14         6.78         9.86         9.58        25.30         9.70        24.15
      518.26         6.63         9.86         9.58        25.30         9.70        24.25
      519.38         6.78         9.86         9.58        25.30         9.85        24.20
      520.51         6.78         9.86         9.58        25.30         9.85        24.15
      521.63         6.78         9.86         9.58        25.30         9.85        24.10
      522.73         6.78         9.86         9.58        25.15         9.70        24.15
      523.85         6.78         9.86         9.73        25.15         9.85        24.15
      524.99         6.78         9.86         9.58        25.15         9.85        24.10
      526.12         6.78         9.86         9.73        25.30         9.70        24.05
      527.26         6.94        10.01         9.73        25.15         9.85        24.15
